Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
38401;Columbia;TN;35.619784;-87.03565;-6;1;35.619784,-87.03565
38017;Collierville;TN;35.057224;-89.67417;-6;1;35.057224,-89.67417
37616;Afton;TN;36.218863;-82.74704;-5;1;36.218863,-82.74704
38138;Germantown;TN;35.088885;-89.80677;-6;1;35.088885,-89.80677
37407;Chattanooga;TN;35.000825;-85.28673;-5;1;35.000825,-85.28673
37367;Pikeville;TN;35.635097;-85.17161;-6;1;35.635097,-85.17161
37050;Cumberland City;TN;36.373626;-87.63158;-6;1;36.373626,-87.63158
37322;Decatur;TN;35.503723;-84.80741;-5;1;35.503723,-84.80741
37421;Chattanooga;TN;35.028574;-85.15939;-5;1;35.028574,-85.15939
37774;Loudon;TN;35.725969;-84.33069;-5;1;35.725969,-84.33069
38124;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37048;Cottontown;TN;36.491753;-86.59963;-6;1;36.491753,-86.59963
37018;Beechgrove;TN;35.642797;-86.1669;-6;1;35.642797,-86.1669
37041;Clarksville;TN;36.477428;-87.377197;-6;1;36.477428,-87.377197
37618;Bluff City;TN;36.469605;-82.22998;-5;1;36.469605,-82.22998
37743;Greeneville;TN;36.102325;-82.85446;-5;1;36.102325,-82.85446
38468;Leoma;TN;35.135003;-87.29218;-6;1;35.135003,-87.29218
37659;Jonesborough;TN;36.293805;-82.49704;-5;1;36.293805,-82.49704
37010;Adams;TN;36.569635;-87.10026;-6;1;36.569635,-87.10026
37059;Dowelltown;TN;35.993983;-85.92851;-6;1;35.993983,-85.92851
37086;La Vergne;TN;36.01333;-86.56268;-6;1;36.01333,-86.56268
37171;Southside;TN;36.354736;-87.30571;-6;1;36.354736,-87.30571
37682;Milligan College;TN;36.296007;-82.305359;-5;1;36.296007,-82.305359
38347;Jacks Creek;TN;35.462376;-88.50539;-6;1;35.462376,-88.50539
38567;Hickman;TN;36.140473;-85.91072;-6;1;36.140473,-85.91072
37063;Fosterville;TN;35.859565;-86.420958;-6;1;35.859565,-86.420958
38136;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
38315;Bethel Springs;TN;35.260888;-88.64275;-6;1;35.260888,-88.64275
37885;Vonore;TN;35.543355;-84.1933;-5;1;35.543355,-84.1933
37217;Nashville;TN;36.103408;-86.66616;-6;1;36.103408,-86.66616
38186;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37902;Knoxville;TN;35.964032;-83.91964;-5;1;35.964032,-83.91964
37310;Charleston;TN;35.275808;-84.76927;-5;1;35.275808,-84.76927
38146;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37306;Belvidere;TN;35.106467;-86.2035;-6;1;35.106467,-86.2035
37332;Evensville;TN;35.585467;-84.94125;-5;1;35.585467,-84.94125
37804;Maryville;TN;35.781607;-83.93591;-5;1;35.781607,-83.93591
37924;Knoxville;TN;36.029987;-83.80705;-5;1;36.029987,-83.80705
37773;Lone Mountain;TN;36.466398;-83.678621;-5;1;36.466398,-83.678621
37830;Oak Ridge;TN;35.992691;-84.27044;-5;1;35.992691,-84.27044
38451;Culleoka;TN;35.474034;-86.98993;-6;1;35.474034,-86.98993
37245;Nashville;TN;36.186605;-86.785248;-6;1;36.186605,-86.785248
37765;Kyles Ford;TN;36.572764;-83.05028;-5;1;36.572764,-83.05028
38555;Crossville;TN;35.929314;-85.05926;-6;1;35.929314,-85.05926
37155;Saint Bethlehem;TN;36.477428;-87.377197;-6;1;36.477428,-87.377197
38583;Sparta;TN;35.943026;-85.45113;-6;1;35.943026,-85.45113
38235;McLemoresville;TN;35.992987;-88.57656;-6;1;35.992987,-88.57656
37166;Smithville;TN;35.922583;-85.80108;-6;1;35.922583,-85.80108
38504;Allardt;TN;36.392571;-84.73614;-6;1;36.392571,-84.73614
37137;Nunnelly;TN;35.88662;-87.50471;-6;1;35.88662,-87.50471
38145;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37701;Alcoa;TN;35.784708;-83.97956;-5;1;35.784708,-83.97956
38177;Memphis;TN;35.201738;-89.971538;-6;1;35.201738,-89.971538
37369;Reliance;TN;35.191719;-84.49446;-5;1;35.191719,-84.49446
38376;Shiloh;TN;35.130384;-88.34742;-6;1;35.130384,-88.34742
37864;Sevierville;TN;35.854211;-83.613849;-5;1;35.854211,-83.613849
37308;Birchwood;TN;35.357001;-84.99288;-5;1;35.357001,-84.99288
38316;Bradford;TN;36.067294;-88.81209;-6;1;36.067294,-88.81209
37810;Mohawk;TN;36.188878;-83.09599;-5;1;36.188878,-83.09599
37349;Manchester;TN;35.497637;-86.07482;-6;1;35.497637,-86.07482
37680;Laurel Bloomery;TN;36.580229;-81.75509;-5;1;36.580229,-81.75509
38362;Oakfield;TN;35.73006;-88.78683;-6;1;35.73006,-88.78683
37920;Knoxville;TN;35.923517;-83.89042;-5;1;35.923517,-83.89042
37013;Antioch;TN;36.055115;-86.64782;-6;1;36.055115,-86.64782
37238;Nashville;TN;36.186605;-86.785248;-6;1;36.186605,-86.785248
37339;Gruetli Laager;TN;35.373152;-85.62361;-6;1;35.373152,-85.62361
37714;Caryville;TN;36.290972;-84.22104;-5;1;36.290972,-84.22104
38568;Hilham;TN;36.414282;-85.45701;-6;1;36.414282,-85.45701
37939;Knoxville;TN;35.990142;-83.96218;-5;1;35.990142,-83.96218
37732;Elgin;TN;36.327029;-84.60898;-5;1;36.327029,-84.60898
38562;Gainesboro;TN;36.351803;-85.65757;-6;1;36.351803,-85.65757
37755;Helenwood;TN;36.434757;-84.53288;-5;1;36.434757,-84.53288
37037;Christiana;TN;35.702877;-86.35134;-6;1;35.702877,-86.35134
37727;Del Rio;TN;35.900308;-83.01575;-5;1;35.900308,-83.01575
37745;Greeneville;TN;36.229928;-82.81406;-5;1;36.229928,-82.81406
38241;Palmersville;TN;36.427351;-88.59234000000001;-6;1;36.427351,-88.59234
37074;Hartsville;TN;36.407653;-86.15305;-6;1;36.407653,-86.15305
37874;Sweetwater;TN;35.598659;-84.46613;-5;1;35.598659,-84.46613
37847;Pioneer;TN;36.432891;-84.27781;-5;1;36.432891,-84.27781
38571;Crossville;TN;36.04347;-85.094842;-6;1;36.04347,-85.094842
37373;Sale Creek;TN;35.391643;-85.10329;-5;1;35.391643,-85.10329
37422;Chattanooga;TN;35.221092;-85.209082;-5;1;35.221092,-85.209082
37842;Ozone;TN;35.87543;-84.792927;-6;1;35.87543,-84.792927
38372;Savannah;TN;35.180947;-88.18946;-6;1;35.180947,-88.18946
38281;Union City;TN;36.354384;-89.149881;-6;1;36.354384,-89.149881
37027;Brentwood;TN;36.007373;-86.79121;-6;1;36.007373,-86.79121
37396;Whiteside;TN;34.994156;-85.48755;-6;1;34.994156,-85.48755
38391;Denmark;TN;35.560669;-89.00984;-6;1;35.560669,-89.00984
37687;Roan Mountain;TN;36.192236;-82.0975;-5;1;36.192236,-82.0975
37816;Morristown;TN;36.213293;-83.275211;-5;1;36.213293,-83.275211
37136;Norene;TN;36.156231;-86.304922;-6;1;36.156231,-86.304922
37224;Nashville;TN;36.186605;-86.785248;-6;1;36.186605,-86.785248
37304;Bakewell;TN;35.345216;-85.138046;-5;1;35.345216,-85.138046
37353;McDonald;TN;35.114036;-84.98535;-5;1;35.114036,-84.98535
37860;Russellville;TN;36.248645;-83.19321;-5;1;36.248645,-83.19321
37205;Nashville;TN;36.113558;-86.86207;-6;1;36.113558,-86.86207
37335;Flintville;TN;35.063253;-86.41866;-6;1;35.063253,-86.41866
38366;Pinson;TN;35.4832;-88.73125;-6;1;35.4832,-88.73125
37724;Cumberland Gap;TN;36.566416;-83.67499;-5;1;36.566416,-83.67499
37921;Knoxville;TN;35.973731;-83.97413;-5;1;35.973731,-83.97413
38387;Westport;TN;35.878702;-88.27401;-6;1;35.878702,-88.27401
37348;Kelso;TN;35.1149;-86.4421;-6;1;35.1149,-86.4421
37927;Knoxville;TN;35.990142;-83.96218;-5;1;35.990142,-83.96218
38023;Drummonds;TN;35.489296;-89.94754;-6;1;35.489296,-89.94754
37229;Nashville;TN;36.186605;-86.785248;-6;1;36.186605,-86.785248
37686;Piney Flats;TN;36.430799;-82.33344;-5;1;36.430799,-82.33344
37872;Sunbright;TN;36.262842;-84.66549;-5;1;36.262842,-84.66549
37867;Shawanee;TN;36.580283;-83.647254;-5;1;36.580283,-83.647254
37204;Nashville;TN;36.112058;-86.77626;-6;1;36.112058,-86.77626
37614;Johnson City;TN;36.302479;-82.36984;-5;1;36.302479,-82.36984
